大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値,limited,季節のおすすめ,timestamp
フード,デザート,ナッツ＆キャラメルチーズケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553415/4524785553415_11_s.jpg,image_719af1a1-b736-4f56-90a7-0079523fb0c7.png,https://menu.starbucks.co.jp/4524785553415,430.0,5.8,29.4,36.4,0.4,1.4,35.0,152.0,121.0,0.2,13.2,,なし,0.0134883720930232,0.0032558139534883,0.3534883720930232,0.2813953488372093,0.0683720930232558,0.0009302325581395,0.0813953488372093,0.0004651162790697,0.0306976744186046,,44.8,46.5,44.3,45.5,62.3,46.6,41.8,51.4,61.8,45.275,52.78,False,False,2023-12-29
フード,デザート,宇治抹茶シフォンケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785488816/4524785488816_11_s.jpg,image_5ca38a67-2daa-452b-ab09-fe17d5b38287.png,https://menu.starbucks.co.jp/4524785488816,298.0,4.2,19.6,26.5,0.2,0.6,25.9,65.0,101.0,0.1,10.3,,なし,0.0140939597315436,0.0020134228187919,0.2181208053691275,0.3389261744966443,0.0657718120805369,0.0006711409395973,0.0869127516778523,0.0003355704697986,0.0345637583892617,,45.1,45.5,42.5,45.6,61.2,45.7,42.9,48.5,65.3,44.675,52.72,False,False,2023-12-29
フード,ペストリー,チョコレートクリームドーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785511187/4524785511187_11_s.jpg,image_ad02472d-c585-43d6-8580-92c35bb24ca4.png,https://menu.starbucks.co.jp/4524785511187,408.0,6.2,25.0,40.9,0.6,3.1,37.8,230.0,214.0,0.1,12.2,,なし,0.0151960784313725,0.0075980392156862,0.5637254901960784,0.5245098039215687,0.0612745098039215,0.0014705882352941,0.0926470588235294,0.0002450980392156,0.0299019607843137,,45.5,50.2,47.1,45.8,59.3,48.3,44.0,46.5,61.1,47.15,51.84,False,False,2023-12-29
フード,ペストリー,バナナの米粉マフィン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785537354/4524785537354_11_s.jpg,image_80e2c8b1-8279-4f7e-9ad0-16aa279d5a5d.png,https://menu.starbucks.co.jp/4524785537354,301.0,3.6,12.5,44.0,0.5,0.6,43.4,190.0,61.0,0.1,3.2,,なし,0.0119601328903654,0.0019933554817275,0.6312292358803987,0.2026578073089701,0.0415282392026578,0.0016611295681063,0.1441860465116279,0.0003322259136212,0.0106312292358804,,44.3,45.5,48.1,45.4,50.7,48.9,54.0,48.5,43.6,45.825,49.14,False,False,2023-12-29
フード,ペストリー,もっちりボール アールグレイ＆ハニーミルク,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558328/4524785558328_11_s.jpg,image_66343f43-5927-44f0-991a-d5d8540c241f.png,https://menu.starbucks.co.jp/4524785558328,307.0,8.2,13.8,38.1,0.8,1.2,36.9,315.0,65.0,0.0,2.4,,なし,0.0267100977198697,0.0039087947882736,1.026058631921824,0.2117263843648208,0.0449511400651465,0.0026058631921824,0.1201954397394136,0.0,0.0078175895765472,,49.8,47.1,53.4,45.4,52.2,52.0,49.3,41.1,41.1,48.925,47.14,False,False,2023-12-29
フード,パッケージフード,4種のクッキーアソートボックス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553934/4524785553934_11_s.jpg,image_25793e64-7162-43c3-a726-61098d707907.png,https://menu.starbucks.co.jp/4524785553934,975.0,12.5,59.0,100.6,0.4,4.0,96.6,140.0,399.0,0.4,22.2,,なし,0.0128205128205128,0.0041025641025641,0.1435897435897435,0.4092307692307692,0.0605128205128205,0.0004102564102564,0.099076923076923,0.0004102564102564,0.0227692307692307,,44.6,47.3,41.5,45.7,58.9,44.9,45.2,50.2,54.6,44.775,50.76,False,False,2023-12-29
ビバレッジ,エスプレッソ,ジャンドゥーヤ チョコレート モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556713/4524785556713_11_s.jpg,image_571901e7-4692-4ce5-94ba-90ba2950ebb9.png,https://menu.starbucks.co.jp/4524785556713,391.0,12.3,19.9,41.5,0.3,1.0,40.4,141.0,676.0,0.3,10.6,83.0,,0.0314578005115089,0.0025575447570332,0.3606138107416879,1.7289002557544757,0.0508951406649616,0.0007672634271099,0.1033248081841432,0.0007672634271099,0.0271099744245524,0.2122762148337595,51.6,46.0,44.4,47.7,54.7,46.0,46.1,58.2,58.5,47.425,52.7,False,True,2024-01-17
ビバレッジ,フラペチーノ®,オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785515017/4524785515017_11_s.jpg,image_2b51c413-a869-4aab-be84-69179455c5a5.png,https://menu.starbucks.co.jp/4524785515017,395.0,4.8,16.2,59.6,0.6,5.9,53.8,222.0,772.0,0.1,8.6,61.0,,0.0121518987341772,0.0149367088607594,0.5620253164556962,1.954430379746836,0.0410126582278481,0.0015189873417721,0.1362025316455696,0.000253164556962,0.0217721518987341,0.1544303797468354,44.3,56.3,47.1,48.0,50.5,48.5,52.4,46.7,53.7,48.925,50.36,False,True,2024-01-17
ビバレッジ,フラペチーノ®,ホワイト オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785515031/4524785515031_11_s.jpg,image_2de65812-5299-48e1-a4c7-b3159223f785.png,https://menu.starbucks.co.jp/4524785515031,479.0,2.2,21.9,69.1,0.5,1.3,67.7,174.0,144.0,0.2,10.0,34.0,,0.0045929018789144,0.0027139874739039,0.3632567849686847,0.3006263048016701,0.0457202505219206,0.0010438413361169,0.1413361169102296,0.0004175365344467,0.0208768267223382,0.0709812108559499,41.5,46.1,44.4,45.5,52.5,46.9,53.4,50.4,52.9,44.375,51.22,False,True,2024-01-17
ビバレッジ,フラペチーノ®,ルージュ オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561458/4524785561458_11_s.jpg,image_1e5aeb0f-a6a8-4ff2-8075-98e6253ae98c.png,https://menu.starbucks.co.jp/4524785561458,381.0,3.9,15.7,57.3,0.7,4.7,52.7,268.0,619.0,0.1,8.4,55.0,,0.0102362204724409,0.0123359580052493,0.7034120734908137,1.6246719160104988,0.0412073490813648,0.0018372703412073,0.1383202099737533,0.000262467191601,0.0220472440944881,0.1443569553805774,43.6,54.1,49.0,47.5,50.5,49.5,52.9,46.9,54.0,48.55,50.76,False,True,2024-02-1
ビバレッジ,フラペチーノ®,ルージュ ホワイト オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561465/4524785561465_11_s.jpg,image_292a7186-c30f-4f93-b0c2-2a3228dfb739.png,https://menu.starbucks.co.jp/4524785561465,414.0,2.2,17.7,62.6,0.6,1.0,61.5,231.0,149.0,0.2,8.8,34.0,,0.0053140096618357,0.002415458937198,0.5579710144927537,0.359903381642512,0.0427536231884057,0.0014492753623188,0.1485507246376811,0.0004830917874396,0.0212560386473429,0.0821256038647343,41.7,45.8,47.1,45.6,51.2,48.2,54.8,51.8,53.2,45.05,51.84,False,True,2024-02-01
